line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables
Les jardins d'Alep en 2016,même l'escargot,a laissé sa coquille et s'est enfui ,tempslibre,6,4,10
place du village,le temps du bombardement est toujours,sur l'horloge brisée ,tempslibre,6,10,6
Village abandonné,au long du chemin de fer,les feuilles d'automne ,tempslibre,6,7,6
Journaux de guerre,Encore une fois,Mon nom parmi les victimes ,tempslibre,5,6,8
Le village abandonné,de la poignée de la porte,des gouttes de pluie tombent ,tempslibre,7,8,7
Après le bombardement,d'une ouverture dans le toit,Je médite à la lune  ,tempslibre,6,9,6
En descendant au tombeau,le cercueil de la danseuse,Se balance à droite et à gauche ,tempslibre,7,8,9
Boîte à bijoux de ma grand-mère,Et elle n'a pas vendu,Des lettres d'amour ,tempslibre,8,7,5
derrière la montagne,vers mon village,la lune descend ,tempslibre,7,5,5
souriant,il tond les herbes,le jardinier chauve ,tempslibre,2,5,6
De la tombe à l'autre,une dernière feuille d'automne,se déplace ,tempslibre,6,10,3
après la neige,Comme deux ailes d'une mouette,les tentes des émigrants ,tempslibre,4,9,6
Piano de la famille,Sa part de la guerre,doigts amputés ,tempslibre,7,6,3
Le village abandonné,Le reste de la vie,Dans la voix du coq ,tempslibre,7,6,5
Noël sans neige -,juste un quartier de pomme,sur le couteau ,tempslibre,4,8,4
vent du nord -,se mélangeant au lilas,parfum de femme ,tempslibre,3,6,5
ciel de cendre -,lourd comme la pluie,le vol du héron ,tempslibre,4,5,4
fin d'été,dans les bagages,les habits d'automne ,tempslibre,1,5,6
chaleur écrasante,les girolles,sous la mousse,tempslibre,5,4,4
lunch al fresco,leaving out a chair,for the sun ,tempslibre,4,5,3
Piaillements d'oiseaux,tôt le matin,vous avez un message ,tempslibre,5,3,7
Glisser l'errata,dans les haïkus pour la Paix,- Lune presque pleine ,tempslibre,5,7,6
tramway bondé,à chaque station,un arbre en fleur ,tempslibre,3,4,5
matin de brouillard...,je lave à la main,mon foulard blanc ,tempslibre,5,5,4
journée des retraites -,une mite s'emmêle,dans mes cheveux ,tempslibre,6,6,4
de la bourriche,l'écrevisse s'échappe...,pensée pour mon fils ,tempslibre,5,5,5
un peu avant l'aube,éolienne immobile,- vendredi saint,tempslibre,6,7,4
orange sanguine,en morceaux sur la table,après son départ ,tempslibre,6,7,3
novembre ,le couteau heurte le vide ,de la meringue  ,tempslibre,3,8,5
encore la nuit,je couds un petit accroc,en forme de coeur ,tempslibre,5,7,5
labour d'octobre,aux coudes aux cuisses,des fils de la vierge ,tempslibre,5,6,6
vingt ans de mariage,d'une orchidée à l'autre,un fil d'araignée ,tempslibre,6,7,5
lundi de neige,pas encore effacés,les pas du facteur ,tempslibre,5,6,5
après la manif,elle dessine le plan,de son potager ,tempslibre,4,7,5
4 février -,sur le muret plus longtemps,la merlette ,tempslibre,1,7,4
pleine lune,au réveil les champs ,tout blancs ,tempslibre,4,4,2
février,qui de lui ou la lune,m'a réveillée ? ,tempslibre,1,7,3
au couteau ouvrir ,les pages d'un livre de Haïku ,- soirée d'automne  ,tempslibre,5,9,5
matin de brouillard,près des buissons l'odeur,de fleurs blanches ,tempslibre,5,5,4
papier défraîchi -,tes mains fraîches sur mes hanches,- chambre quatre ,tempslibre,4,8,4
seule ce soir ,une goutte après l'autre ,quelque part  ,tempslibre,4,7,3
tas de repassage - ,dans la jupe de l'été ,trois pignons de pins  ,tempslibre,6,5,5
Entrée du bois -,débris de faïence WC,sous l'églantier en fleur,tempslibre,4,5,5
grêlons -,la pointe du sein,entre pouce et index,tempslibre,1,5,7
sieste -,ma main sur mon sein,la fuite des nuages,tempslibre,2,5,6
matin d'octobre -,sur la barque rouge,le héron,tempslibre,5,6,2
pendu par les pieds,le chevreuil dépecé,"plus loin, les perce-neiges",tempslibre,5,4,7
soleil levant,elle dessine sa bouche,dans le retro,tempslibre,4,8,4
troisième jour d'école,dans son cartable si lourd,dix fois le silence,tempslibre,6,7,6
extrême onction,les ventres qui gargouillent,le merle dehors,tempslibre,4,7,5
porte entrouverte -,les guirlandes s'illuminent,une seconde,tempslibre,6,8,5
matin d'hiver -,gelée de myrtilles,mes seins si blancs ! ,tempslibre,4,6,4
rue Saint Honoré,dégringolée de nulle part,la feuille de ginkgo,tempslibre,4,7,6
feux d'artifice...,crier de joie à la vue,du ver luisant,tempslibre,5,5,4
Juno Beach-,"mon corps dans la mer,",ma mère au bord,tempslibre,3,5,4
rage de dents -,sur le toit les serres,des pigeons,tempslibre,4,6,3
"soir de mai,",les carottes sauvages dépassent,l'horizon,tempslibre,3,9,3
"Dans la poubelle,",un exemplaire du Monde,encore frais,tempslibre,5,8,4
lune de janvier,la peau la plus fine,apparaît,tempslibre,5,6,3
pleine lune sans nuages,cinq doigts tambourinent,sur-une-chute-de-reins,tempslibre,7,6,7
rouge sang,dans les mâchoires de la benne,le dahlia,tempslibre,3,8,3
sous l'épervier,faisant le Saint Esprit :,un tas de fumier,tempslibre,3,6,5
Best Of Mac Donald,deux limaçons roux,sur une frite,tempslibre,5,5,5
vieux livre trouvé -,un brin de lavande parfume,le serial killer ,tempslibre,4,9,5
un petit matin,de roses fanées-,novembre si long... ,tempslibre,5,5,5
jour de tempête-,envolés la terre et le ciel,de la marelle ,tempslibre,4,8,5
les amis partis -,dans la trace de leurs pas,que de pluie ,tempslibre,5,7,3
confinement-,le soleil fait le tour,de mon lit ,tempslibre,4,6,3
dans une flaque d 'eau,il picore un peu de ciel,le jeune pigeon ,tempslibre,6,8,5
masque de beauté-,sous la douceur du camélia,oublier la pluie ,tempslibre,4,7,4
pluie glaciale-,dans mon cahier impassibles,de grands oiseaux bleus ,tempslibre,4,8,5
lune très ronde,dans quelques heures,l'enfant ,tempslibre,4,5,2
marée très très haute-,moi aussi je marche,sur l'eau…. ,tempslibre,4,6,2
nuit de pluie,dans la flaque ,un quart de lune ,tempslibre,3,4,5
collée sur le bitume- ,l'ombre de la vieille dame,n 'avance plus ,tempslibre,7,8,4
pleine lune-,dans la chambre,le bruit des minutes ,tempslibre,4,4,6
jour d 'émeutes-,sous les fumigènes,un lilas blanc ,tempslibre,3,5,4
pommiers en fleurs-,la vieille balançoire,immobile... ,tempslibre,4,7,4
soirée de brume-,une note solitaire,s'échappe d'un saxo ,tempslibre,5,8,5
éviter la crue,la retrouver dans la nuit,lui parler longtemps,tempslibre,4,7,5
Buée du matin,Le chiffon bleu dans l’auto,Essuie l’hiver ,tempslibre,5,7,4
corde à linge -,entre les ailes du papillon,un peu de vent ,tempslibre,4,9,4
la punaise morte ,enterrée peu à peu,- pluie martelante ,tempslibre,6,5,5
route de nuit,pour seule compagne,l'étoile du nord ,tempslibre,4,6,4
court-bouillon,la seiche,trempée jusqu'à l'os ,tempslibre,3,3,5
quatrième café -,poursuivant le soleil,d'une terrasse à l'autre ,tempslibre,4,6,7
porcelaine de famille,la délicatesse des roses,à peine ébréchée ,tempslibre,8,8,3
lune de mars,la voie ferrée brille,à fleur d'étang ,tempslibre,4,6,2
ardoises vernies,la lune se mire,dans la pisse du chat ,tempslibre,5,6,6
Lune d'octobre,Un voile de cacao,Sur la porcelaine ,tempslibre,5,6,6
Des pyjamas noirs,ébouriffés par le vent.,Envol des corbeaux.,tempslibre,5,5,5
une grosse cigale,se dépose sur ma main,nos yeux se croisent,tempslibre,7,6,5
entre les feuilles du févier,se glissent,les étoiles filantes,tempslibre,7,3,6
midi ensoleillé,l'espace entre nous,se remplit de chaleur ,tempslibre,5,6,6
nuit blanche,la rumeur d'amour des eiders,au large,tempslibre,3,8,3
la pluie,dans le paysage jauni ,de septembre ,tempslibre,2,7,4
le homard du dessus,avec ses yeux en forme de boutons,me fixe ,tempslibre,6,10,3
août,tous les insectes chanteurs,jour et nuit ,tempslibre,1,7,3
un peu de vent,sur mes épaules nues,odeur de matin ,tempslibre,4,5,5
matin d'été,un champ d'orge encore vert,entoure l'abbaye en ruines,tempslibre,2,8,8
des fleurs,coupées précocement,sur le trottoir,tempslibre,2,5,4
les hautes herbes,courbées sous l'aile de la buse,midi,tempslibre,5,9,2
voeu d'obéissance,les hautes herbes courbées,dans l'harmattan,tempslibre,5,7,4
la sève,coule à flanc d'érable,gélivures,tempslibre,2,5,3
les feuilles rouges,les premières à tomber,un porto ce soir,tempslibre,5,6,5
jardin zen,les stèles émergent du sable,un autre soldat mort,tempslibre,3,7,6
août déclinant,la stridulation du criquet,huasse d'un ton,tempslibre,3,8,5
pleine lune -,il manque deux soirs,à sa rondeur,tempslibre,4,5,3
ses cheveux coiffés,à l'abri du vent sud-ouest,tombe ouverte,tempslibre,4,6,5
il prolonge,la soufflerie de l'ordinateur,le grillon ,tempslibre,4,9,3
les enfants font,flotter des lanternes de couleur,soir d'Hiroshima ,tempslibre,4,9,5
chez l'antiquaire --,au fond de l'armoire vide,les rais du soleil,tempslibre,5,8,5
tombée du jour,suivre la guerre sur l'écran,dormir sans rève,tempslibre,4,7,4
arrêt d’autobus,chemins de sable à droite,s’enliser vers où ?,tempslibre,4,7,5
tempête de mars,dans le four à bois,l'odeur du levain ,tempslibre,4,4,5
Jour de manif,les slogans défilent devant,l'étal d'oranges ,tempslibre,4,7,4
impasse des lilas,le camélia en fleurs,qui le félicite ?,tempslibre,6,5,5
impasse des lilas,la maison en ruine,n'attend que les oiseaux ,tempslibre,6,6,6
thé au gingembre,le gris grignote le bleu,du ciel landais ,tempslibre,4,7,4
fin de journée ,une odeur aigre douce,traîne dans le grenier ,tempslibre,4,8,6
matin pluvieux,un parfum de lavande,s'échappe de l'armoire ,tempslibre,4,7,6
fond de la ruelle,les senteurs du figuier,sous le soleil d'août ,tempslibre,5,6,5
tracteur bruyant,des épouvantails se dressent,dans les champs semés ,tempslibre,3,7,4
lune d'insomnie,sur la table de chevet,un livre ouvert ,tempslibre,5,7,5
jour de guerre,le champ de colza,ondule au vent d'avril ,tempslibre,4,5,7
fin de journée,quelques feuilles de menthe,dans son verre ,tempslibre,4,7,4
pluie de mars,sur le trottoir gris,des pétales rouges ,tempslibre,3,5,5
neige de février,jusque sous mes raquettes,le sable du Sahara ,tempslibre,4,7,7
arc en ciel,dans mon thé brûlant ,un peu d'eau froide ,tempslibre,3,3,5
fin du jour,je lèche la spatule de,la confiture d'oranges ,tempslibre,3,7,8
petit matin,le camion des poubelles,secoue mon rêve ,tempslibre,4,7,4
milieu de la nuit,dans ma tisane de thym,un morceau de lune ,tempslibre,5,7,6
quart de lune~,un peu de fraîcheur,sur le prunier ,tempslibre,4,5,4
ciel plombé,le silence des oiseaux,juste avant l' orage ,tempslibre,2,7,7
nuit bleue,dans la vieille bassine,le quartier de lune ,tempslibre,2,7,6
quart de lune,la moitié du potager,mangé par la nuit ,tempslibre,4,7,4
Colza en fleurs,si loin les sommets,enneigés ,tempslibre,4,5,2
lune froide,dans la bouillotte de graines,une odeur de lavande ,tempslibre,4,8,8
lune invisible,devant son café noir,il baille ,tempslibre,6,5,3
Matin de givre,sur ma tartine grillée,la gelée de groseille ,tempslibre,5,7,7
Entre deux averses,sur le trottoir d'en face,l'odeur du pain chaud ,tempslibre,6,7,5
journée de pluie,dans les sablés tout chauds,un goût de cannelle ,tempslibre,4,5,6
cathédrale grise,mes deux grand-mères mortes ...,lueur d'automne ,tempslibre,5,6,4
d'un automne à l'autre,tant de feuilles à ramasser,le rateau plus lent,tempslibre,6,7,5
goélands ,picorant sur l'ïle ,en route vers le travail,tempslibre,2,5,7
crèmes de beauté,le jour la nuit le jour,l'automne touche à sa fin,tempslibre,3,6,7
pour le goéland,déjeuner de moucherons,sur dos de baleine,tempslibre,4,6,6
retour de monnaie,dans la paume de ma main,la chaleur de ses doigts ,tempslibre,5,7,6
usine désaffectée --,en fleurs,le vieux mur de briques ,tempslibre,6,2,6
éclaircies,elle marche sur les nuages,la punaise au carreau ,tempslibre,2,8,7
fête foraine,coincé entre montagnes russes,et tir aux ballons ,tempslibre,4,8,5
soir solitaire --,ils semblent bien plus voraces,les moustiques ,tempslibre,5,8,4
2 h du matin,sous la lune l'autoroute,sent le fenouil ,tempslibre,3,8,4
grondement,ils ne larguent que de l'eau du lac,les bombardiers jaunes ,tempslibre,3,9,6
sur le lac miroir,la rayure d'un canadair,matin frais ,tempslibre,5,7,3
nuée d'orage --,encore plus le goût de cerise,ces cerises ,tempslibre,5,10,4
aube de Pâques ,deux Canadairs matinaux,réveillent les eaux ,tempslibre,4,7,4
7h20,un rayon orange sur la tasse,de café ,tempslibre,1,9,2
amour d'été,à pleine bouche,l'oignon de Lezignan ,tempslibre,2,4,6
solstice d'hiver,l'ombre des baleiniers,sur mes haïkus ,tempslibre,5,6,4
manif sociale,des chants de grues migratrices,survolent le bouchon ,tempslibre,5,8,6
tableau de bord ~,au dessus du gilet jaune,un piège à rêves ,tempslibre,4,8,4
sur le toit un homme,vibrant de coups de marteau,l’air d’automne ,tempslibre,6,7,4
sieste torride,les coups de marteau de l’homme,sur la faitière ,tempslibre,5,8,5
fond de la piscine,un vol de martinets noirs,nage dans l’azur ,tempslibre,6,7,5
nuée en approche,sur mon café du midi,pas une ride,tempslibre,6,6,5
cinquième de l’avant,il regarde vers la fenêtre,l’oiseau en cage ,tempslibre,6,8,5
pluie continue,pour rappeler le soleil ,un rhum arrangé ,tempslibre,4,7,4
lendemain de vote,une mouche entre les verres,du double vitrage ,tempslibre,6,9,6
thé à la menthe,sur l’eau la pleine lune,à peine voilée ,tempslibre,3,7,4
village perdu,une vieille à sa fenêtre,veille sur le virage ,tempslibre,5,7,7
milieu de nuit,le biseau de l'aiguille,trouve la veine ,tempslibre,4,7,5
courses de Noël,des enfants dans les gravats,plein les écrans ,tempslibre,4,7,3
28° jour,en miroir sur le fleuve,à nouveau la lune ,tempslibre,1,7,5
retour de WE,sur la bande d’arrêt d'urgence,un chaton joue ,tempslibre,4,8,4
matin de brume,dans mon café mexicain,du sucre d'érable ,tempslibre,5,6,5
Lisbonne Bergerac,le va et vient incessant,des essuie-glaces ,tempslibre,6,7,5
7° de janvier ~,les rubans noirs remplacent,les bonnets rouges,tempslibre,3,7,5
midi du jour 8 ~,les sirènes ne font pas,taire les oiseaux,tempslibre,4,6,5
halo solaire ~ ,la brume sent le cheval,et le feu de bois ,tempslibre,5,7,5
marée montante ~,sur le quai des marginaux,descendant du rhum ,tempslibre,5,7,5
cinquième étage ~,après-rasage et encens,montent de la rue ,tempslibre,5,7,5
tram de nuit ~,ne pas oublier d'ôter,le badge Bikko !  ,tempslibre,3,5,5
Une mèche grise ,s'échappant d'un bonnet bleu. ,Giboulées de mars.,tempslibre,5,6,5
"Six oiseaux, puis un,","au ras des vagues blanches,",la plage bondée.,tempslibre,5,7,5
Elles pointent un oeil,"printemps précoce en vue,",les pommes de terre ! ,tempslibre,6,6,6
after the bell,just the rain on the umbrellas,ashes to ashes ,tempslibre,4,8,5
matin de mars,regarder vers l'est,fukushima ,tempslibre,4,5,4
soleil froid,dans le parlement,leurs hurlements ,tempslibre,3,5,4
tempête d'hiver,une goutte traverse la vitre,de goutte en goutte ,tempslibre,4,10,6
soleil d'automne,les pas de mon père,plus lents,tempslibre,5,5,2
un point plus sombre,dans la neige de l'échographie,pleine lune d'automne,tempslibre,5,8,7
pleine lune --,après la soupe aux potirons,son ventre plus rond,tempslibre,4,8,5
dans le brouillard,de mon haleine se perd,le train du soir ,tempslibre,4,7,4
chutes de neige,le sachet de thé s'enfonce,lentement dans l'eau,tempslibre,5,7,5
sous ma paume,ses seins plus gros,soleil d'hiver,tempslibre,4,4,4
soir de décembre,sur l'écran de l'échographie,que de la neige,tempslibre,4,6,5
crépuscule d'hiver,l'ombre de l'épouvantail,dépasse le champ,tempslibre,5,6,4
lentement,le scarabée avance,tempête de juin,tempslibre,3,7,4
