line_1,line_2,line_3,source
école abandonnée,les noms des amis et leurs cœurs,sont encore sur les bancs ,tempslibre
Bague de mariage,Convient également pour dessiner,Une lune dans la neige ,tempslibre
Tombe du mendiant,Sa part des visiteurs,leurs ombres ,tempslibre
Pleins d'épingles,journaux de guerre,dans le magasin de mon voisin ,tempslibre
Le village abandonné,la rosée du matin,sur les fleurs du cimetière ,tempslibre
Après la lessive.,Une nouvelle fleur jaune,Dans la robe de ma fille. ,tempslibre
Tantôt rouge tantôt jaune,Sous les feux d'artifice,la main d'un mendiant ,tempslibre
Arrivée du train-,les vêtements flottent,Sur la corde à linge ,tempslibre
Retour à la maison,la chaise de ma grand-mère morte,se balance sur la terrasse ,tempslibre
hors du puits,dans un seau j'attrape,une lune ,tempslibre
Décombres-,dans l'œil vide de la poupée,les gouttes de la pluie tombent ,tempslibre
Avec le mur détruit,les mots aussi,Se brisent ,tempslibre
maison abandonnée,les gouttes de pluie sont restées,sur les pinces à linge ,tempslibre
Comme à la cérémonie du drapeau,se rangent l'un près l'autre,Les cercueils des enfants. ,tempslibre
Le retour d'Alep,Plus rapides que le bus,Les battements de mon cœur ,tempslibre
Cimetière de mon village,toutes les histoires de guerres,sur les pierres tombales ,tempslibre
La cour de la prison,dans la flaque de la pluie,la lune ,tempslibre
premières écritures,sur le nouveau mur de l'école,pluie de printemps ,tempslibre
vent d'automne,la chemise fleurie de ma voisine,dans mon jardin,tempslibre
Un morceau de charbon brûlé,il paraît dans l'obscurité,le navire des émigrés ,tempslibre
Jardins d' Alep,même toi escargot,cherche le printemps ,tempslibre
ablation du sein,entre la vie et la mort,le tatouage du papillon ,tempslibre
ablation du sein,entre la vie et la mort,le tatouage du papillon ,tempslibre
Matin d'automne,de ma poitrine,le brouillard sort ,tempslibre
balançoire à la lune,son soutien,Sur la corde à linge ,tempslibre
Après le bombardement,ombre du château,sur les restes du mur ,tempslibre
La voix du bombardement se lève-,du haut de la cascade,la lune tombe ,tempslibre
comme des boîtes aux mouchoirs,les tentes des émigrés se pressent,sous la neige ,tempslibre
Tempête de sable,le corbillard,couvert de poussière ,tempslibre
Naissance de jumeaux,le premier mort,l'autre ne cesse pas de pleurer ,tempslibre
Maison abandonnée,d'une fenêtre à l'autre,la lune se déplace ,tempslibre
Les jardins d'Alep en 2016,même l'escargot,a laissé sa coquille et s'est enfui ,tempslibre
place du village,le temps du bombardement est toujours,sur l'horloge brisée ,tempslibre
Village abandonné,au long du chemin de fer,les feuilles d'automne ,tempslibre
Journaux de guerre,Encore une fois,Mon nom parmi les victimes ,tempslibre
Le village abandonné,de la poignée de la porte,des gouttes de pluie tombent ,tempslibre
Après le bombardement,d'une ouverture dans le toit,Je médite à la lune  ,tempslibre
En descendant au tombeau,le cercueil de la danseuse,Se balance à droite et à gauche ,tempslibre
Boîte à bijoux de ma grand-mère,Et elle n'a pas vendu,Des lettres d'amour ,tempslibre
derrière la montagne,vers mon village,la lune descend ,tempslibre
souriant,il tond les herbes,le jardinier chauve ,tempslibre
De la tombe à l'autre,une dernière feuille d'automne,se déplace ,tempslibre
après la neige,Comme deux ailes d'une mouette,les tentes des émigrants ,tempslibre
Piano de la famille,Sa part de la guerre,doigts amputés ,tempslibre
Le village abandonné,Le reste de la vie,Dans la voix du coq ,tempslibre
plage nudiste,un inconnu me couvre,de son ombre  ,tempslibre
noce au jardin --,sous les cerisiers en fleurs,le rouge aux joues de la jeune mariée plus profond,tempslibre
pluie sur New-York,de la fenêtre du dixième,les parapluies noirs en fleur,tempslibre
ivre sur la plage --,la lune dans ma coupe de sake,disparaît,tempslibre
fin d'hiver -,j'ouvre le saijiki,au début du printemps,tempslibre
à peine pourpres,sous la lune -,les pins dans la lumière,tempslibre
la dernière lumière du jour ~,les rhododendrons pourpres,se dissolvent dans le noir,tempslibre
iris,plus bleus,dans les siens,tempslibre
glycine -,en fleur avant,la fin de la pluie,tempslibre
au travers de la dentelle -,le tracé du givre,sur la vitre,tempslibre
la pluie,tombe des arbres,sur les iris bleus,tempslibre
plage en hiver,trois lignes grises,"de sable, de la mer et du ciel",tempslibre
hiver -,des pivoines blanches,dans la neige qui tombe,tempslibre
fin d'été,dans les bagages,les habits d'automne ,tempslibre
chaleur écrasante,les girolles,sous la mousse,tempslibre
midwinter,seule avec une pile,de livres à moitié lus ,tempslibre
la maison après la tombée de la nuit,les formes familières,des ombres ,tempslibre
éteindre,le flash de mon appareil photo,la pose du héron ,tempslibre
pris par la glace —,ce lac qui renferme,ses cendres ,tempslibre
promenade haïku,je rapporte à la maison,un peu de la boue ,tempslibre
soleil de l'après-midi,l'enveloppe d'une mouche,sur une toile abandonnée ,tempslibre
bibliothèque fermée,le soleil d'été glisse,sur les étagères ,tempslibre
tombée de la nuit,le silence inquiétant,de corbeaux ,tempslibre
longue maladie –,le cornouiller rose en fleurs,sans moi ,tempslibre
l'attention,que son chien reçoit -,Un sans-abri ,tempslibre
me rappelant un air,de mon enfance,fleurs de prunier ,tempslibre
les pillules du père,la palette des,feuilles d'automne ,tempslibre
fin de l'été,nos souvenirs,dans des fichiers compressés ,tempslibre
s'éveiller,avec des taches de rousseur et des boucles,pause estivale ,tempslibre
longue nuit,à ma fenêtre — une araignée,grimpe à la lune ,tempslibre
fenêtre de train,les marques de doigts,des voyages passés ,tempslibre
vieille lettre d’amour,les bords froissés,des pétales de coquelicots ,tempslibre
son odeur partie,de chaque pièce,jasmin d'hiver ,tempslibre
neige de la nuit,son côté du lit,vierge ,tempslibre
sentier en forêt,courir jusqu’au bout,de mes pensées ,tempslibre
apprendre à manger,autour des marques de coups,pommes d’hiver ,tempslibre
nuit d'hiver,j'étends mon mot,au scrabble ,tempslibre
je feuillète,un vieux rolodex,jour d'hiver ,tempslibre
champ de pissenlits,ma voix se disperse,dans le vent ,tempslibre
à la traîne,des autres randonneurs,un goût de poussière ,tempslibre
vacances d'été,le soleil essaime,mes taches de rousseur ,tempslibre
fin de l'été,dans un bocal de coquillages,l'odeur de l'air salin ,tempslibre
rosée matinale,presser la dernière goutte,de mon sachet de thé ,tempslibre
fièvre de printemps,les racines de l'arbre crevassent,le beton ,tempslibre
saison des touristes,le jardin zen,rempli de bruits ,tempslibre
démêlant,le fil du téléphone,fête des mères ,tempslibre
braises rougissantes,je commence mon histoire,par la fin ,tempslibre
apprendre à manger,autour des meurtrissures,pommes d'hiver ,tempslibre
fenêtre de bureau,les allées et venues,des papillons ,tempslibre
promenade sur la plage,nous trempons nos pieds,dans les étoiles ,tempslibre
pluie continue,abaisser les rideaux,de sa maison de poupée ,tempslibre
balade nocturne,à travers des rideaux entrouverts,les vies des autres ,tempslibre
dépoussièrant,les touches du piano,le vent d'automne ,tempslibre
pluie d'automne,mes flaques se remplissent,de lumière de lune ,tempslibre
caverne de montagne --,en sortant des tenèbres,la lumière du matin,tempslibre
après son premier vol,les serres du jeune gerfaut,plus serrées sur mon gant,tempslibre
roses d'hiver,je suis fatiguée de lire,entre les lignes ,tempslibre
tempête --,le monologue,de chaque arbre ,tempslibre
éteignoir à chandelle --,nos yeux suivent,la volute de fumée ,tempslibre
accalmie -,la lecture en braille,de ta chair de poule ,tempslibre
malaise d'après-midi--,la lumière oblique,de la coupe d'oranges ,tempslibre
premier jour d'école--,la maison s'emplit de l'espace,entre les tics des secondes ,tempslibre
averse --,l'odeur de l'animal mort,dérive dans ma mémoire ,tempslibre
crépuscule --,le dernier coup de sifflet de quelque chose,alors que j'allume une lampe de lecture ,tempslibre
fenêtre d'aéroport --,le nuage de mon haleine,comme ton avion touche les nuages ,tempslibre
lune de minuit --,avoir peur,de tourner une autre page ,tempslibre
pour le vin sans nom,des oiseaux bleus,sur des baies rouges,tempslibre
neige fraiche --,les nouveaux voisins,toutes les lumières de l'entrée allumées,tempslibre
équipe de nuit --,une courte pause,pour regarder les étoiles...,tempslibre
avis de gel --,la lumière de l'arc du soudeur,éclaire la nuit,tempslibre
avis de gel --,le besoin de pisser,une fois dans le trafic,tempslibre
avis de gel --,juste assez de monnaie,pour le café,tempslibre
avis de gel --,du fond du bar,elle retourne mon regard,tempslibre
avis de gel --,un couple de sans-abris,nourrissent les mouettes,tempslibre
poussière --,un tonnerre distant,passe,tempslibre
sex shop --,chaque queue,la fixe,tempslibre
dictionnaire de scrabble --,j'allume une chandelle,avec une autre,tempslibre
un clou qui rouille --,le fabricant de cercueils,parle du prix,tempslibre
fête du travail --,je dépoussière,mon CV,tempslibre
dégel --,un papillon d'hiver lutte,contre un fil d'araignée,tempslibre
tabatière--,une trainée d'avion croise,sa ligne de coke,tempslibre
magasin d'antiquité --,l'océan sonore,dans un coquillage,tempslibre
crépuscule --,les cris d'oiseaux,disparaissent aussi,tempslibre
été indien --,elle farde ses joues,comme elle attend pour un verre,tempslibre
messe du soir --,des faisceaux de lumière,dans la nuit,tempslibre
canal cuisine --,"entre les réclames,",le dîner brûle,tempslibre
automne --,le long de l'autoroute,les buses attendent,tempslibre
la file d'attente pour la nourriture...,les estomacs qui grondent,rompent le silence ,tempslibre
mousson à Rawalpindi,serpentant dans la ruelle,bateaux de papiers colorés ,tempslibre
train de fin de soirée,la berceuse de la mère,pour tous ,tempslibre
charrette surchargée,dans les yeux de l'âne,le crépuscule gagne ,tempslibre
dîner seule,l'arôme du garam masala,mélangé au brouillard ,tempslibre
migraine --,l'autre côté,d'une pleine lune ,tempslibre
un rare dîner en famille,le goût du chili rouge,brûle le silence ,tempslibre
terreur de minuit,la fréquence radio ,coupée ,tempslibre
cueillette des betteraves...,les traces de l'hiver,sur mes mains ,tempslibre
soupe au poulet,avec un soupçon de safran,crépuscule d'hiver ,tempslibre
les restes de lait,dans le bol jeté,lune de jour ,tempslibre
pluie de mousson,mijotant doucement,le ragoût de pois chiches ,tempslibre
de plus en plus,le silence de la rivière,étoiles des collines ,tempslibre
le bruit sourd,d'une pomme tombée...,jour de déménagement ,tempslibre
centre de détention -,les notes graves de la flûte,approfondissent le silence ,tempslibre
train de nuit,la berceuse de la mère,pour tous ,tempslibre
train de nuit,démêlant,les sombres pensées ,tempslibre
ombres du soir...,les choses que nous rejettons,deviennent plus visibles ,tempslibre
flaque de pluie . . .,un enfant réfugié remue,la lune froide ,tempslibre
fleurs sauvages,dans chaque pot de terre cuite,le jardin familial abandonné ,tempslibre
hiver froid -,un patch de plus,dans la vieille couverture ,tempslibre
pivoine fanée,son histoire d'amour,après la ménopause ,tempslibre
jour de la femme —,rien n’a changé,sauf son statut Facebook ,tempslibre
changement climatique —,sous une neige épaisse,le camp de réfugiés ,tempslibre
Glisser l'errata,dans les haïkus pour la Paix,- Lune presque pleine ,tempslibre
tramway bondé,à chaque station,un arbre en fleur ,tempslibre
matin de brouillard...,je lave à la main,mon foulard blanc ,tempslibre
journée des retraites -,une mite s'emmêle,dans mes cheveux ,tempslibre
de la bourriche,l'écrevisse s'échappe...,pensée pour mon fils ,tempslibre
un peu avant l'aube,éolienne immobile,- vendredi saint,tempslibre
orange sanguine,en morceaux sur la table,après son départ ,tempslibre
novembre ,le couteau heurte le vide ,de la meringue  ,tempslibre
encore la nuit,je couds un petit accroc,en forme de coeur ,tempslibre
labour d'octobre,aux coudes aux cuisses,des fils de la vierge ,tempslibre
vingt ans de mariage,d'une orchidée à l'autre,un fil d'araignée ,tempslibre
lundi de neige,pas encore effacés,les pas du facteur ,tempslibre
après la manif,elle dessine le plan,de son potager ,tempslibre
4 février -,sur le muret plus longtemps,la merlette ,tempslibre
pleine lune,au réveil les champs ,tout blancs ,tempslibre
février,qui de lui ou la lune,m'a réveillée ? ,tempslibre
au couteau ouvrir ,les pages d'un livre de Haïku ,- soirée d'automne  ,tempslibre
matin de brouillard,près des buissons l'odeur,de fleurs blanches ,tempslibre
papier défraîchi -,tes mains fraîches sur mes hanches,- chambre quatre ,tempslibre
seule ce soir ,une goutte après l'autre ,quelque part  ,tempslibre
tas de repassage - ,dans la jupe de l'été ,trois pignons de pins  ,tempslibre
Entrée du bois -,débris de faïence WC,sous l'églantier en fleur,tempslibre
grêlons -,la pointe du sein,entre pouce et index,tempslibre
sieste -,ma main sur mon sein,la fuite des nuages,tempslibre
matin d'octobre -,sur la barque rouge,le héron,tempslibre
pendu par les pieds,le chevreuil dépecé,"plus loin, les perce-neiges",tempslibre
soleil levant,elle dessine sa bouche,dans le retro,tempslibre
troisième jour d'école,dans son cartable si lourd,dix fois le silence,tempslibre
extrême onction,les ventres qui gargouillent,le merle dehors,tempslibre
porte entrouverte -,les guirlandes s'illuminent,une seconde,tempslibre
matin d'hiver -,gelée de myrtilles,mes seins si blancs ! ,tempslibre
rue Saint Honoré,dégringolée de nulle part,la feuille de ginkgo,tempslibre
feux d'artifice...,crier de joie à la vue,du ver luisant,tempslibre
Juno Beach-,"mon corps dans la mer,",ma mère au bord,tempslibre
rage de dents -,sur le toit les serres,des pigeons,tempslibre
"soir de mai,",les carottes sauvages dépassent,l'horizon,tempslibre
11 mars -,"dans l'autre sens,",le fauteuil,tempslibre
"Dans la poubelle,",un exemplaire du Monde,encore frais,tempslibre
lune de janvier,la peau la plus fine,apparaît,tempslibre
mélèze roux,herbe bleue -,l'aube,tempslibre
dans le velux,jambes enchevêtrées,et neige,tempslibre
pleine lune sans nuages,cinq doigts tambourinent,sur-une-chute-de-reins,tempslibre
rouge sang,dans les mâchoires de la benne,le dahlia,tempslibre
sous l'épervier,faisant le Saint Esprit :,un tas de fumier,tempslibre
Best Of Mac Donald,deux limaçons roux,sur une frite,tempslibre
 chemin de l'école,deux vaches portent avec leurs cornes,le soleil,tempslibre
vieux livre trouvé -,un brin de lavande parfume,le serial killer ,tempslibre
un petit matin,de roses fanées-,novembre si long... ,tempslibre
jour de tempête-,envolés la terre et le ciel,de la marelle ,tempslibre
les amis partis -,dans la trace de leurs pas,que de pluie ,tempslibre
confinement-,le soleil fait le tour,de mon lit ,tempslibre
dans une flaque d 'eau,il picore un peu de ciel,le jeune pigeon ,tempslibre
masque de beauté-,sous la douceur du camélia,oublier la pluie ,tempslibre
pluie glaciale-,dans mon cahier impassibles,de grands oiseaux bleus ,tempslibre
lune très ronde,dans quelques heures,l'enfant ,tempslibre
marée très très haute-,moi aussi je marche,sur l'eau…. ,tempslibre
nuit de pluie,dans la flaque ,un quart de lune ,tempslibre
collée sur le bitume- ,l'ombre de la vieille dame,n 'avance plus ,tempslibre
pleine lune-,dans la chambre,le bruit des minutes ,tempslibre
jour d 'émeutes-,sous les fumigènes,un lilas blanc ,tempslibre
pommiers en fleurs-,la vieille balançoire,immobile... ,tempslibre
soirée de brume-,une note solitaire,s'échappe d'un saxo ,tempslibre
devoir de juré,le battant de l'horloge,va et vient,tempslibre
brise d'été --,quelqu'un s'exerce aux percussions,dans la vallée,tempslibre
pas de pluie --,le bruit de l'herbe,écrasée,tempslibre
au musée --,si chaud que la momie,transpire,tempslibre
pluie d'été --,les gouttes descendent le lis,feuille après feuille,tempslibre
orage de grêle,les golfeurs courent,à couvert,tempslibre
sax la nuit ...,rêves en,si mineur,tempslibre
entre,le tonnerre et l'éclair,zéro,tempslibre
je sauve,une souris du chat --,steak brûlé,tempslibre
dentist chair--,construction noise,outside,tempslibre
Jour du Souvenir,un vieux couple relit,la lettre,tempslibre
nuit du samedi --,quelqu'un vomit sous,les arbres en fleurs,tempslibre
pluie du soir --,j'achète des cerisiers,sur internet,tempslibre
mi avril,l'herbe finalement,ressemble à de l'herbe,tempslibre
soleil de midi --,quelqu'un fait des gammes,au saxophone,tempslibre
me rasant --,je partage le miroir,avec une araignée,tempslibre
les mouches de printemps,bourdonnent au dessus de ma tête --,mi bémol,tempslibre
ciel sans étoiles --,les piles mortes,du flash,tempslibre
se détachant du brouillard,une grange blanche peinte,de papillons,tempslibre
la peinture s'écaille,de la vieille maison blanche --,dégel de mars,tempslibre
le même chemin,même dans la neige profonde --,le cheval aveugle,tempslibre
jour de printemps,deux faucons tournent sous,les lignes d'avions,tempslibre
pluie de printemps,les autos lentement quittent,le cimetière,tempslibre
un beau papillon orange,se pose sur son épaule ~,inconscient,tempslibre
frémissante,le ruban de ses cheveux tombe,et les inhibitions,tempslibre
lune décroissante . . .,le parfum de l'automne,dans une tasse de thé ,tempslibre
menthe et marjolaine ,ce chemin tranquille entre les champs ,fut un jour un jardin ,tempslibre
soixante milles plus tard,les feuilles rouges du jardin de ma mère ,collées à mon pare-brise ,tempslibre
bleu profond de la nuit ,la résine et le sel des pins,si loin de la mer ,tempslibre
éparpillé dans le fossé ,comme de minuscules morceaux de ciel bleu ,bouts de sac en plastique ,tempslibre
jardin japonais -,la pluie battante,sur le bouddha de pierre,tempslibre
soleil de printemps -,la maison jaune,juste repeinte,tempslibre
année bissextile -,la canne du vieil homme,laisse aussi ses traces,tempslibre
vie sauvage -,une bestiole passe,devant la TV,tempslibre
embouteillage -,le lune passe au travers,de l'ombre de la Terre,tempslibre
chambre d'amis -,le silence de la lune,par la fenêtre,tempslibre
nuit sans sommeil -,la pleine lune est arrivée,à l'autre fenêtre,tempslibre
noirceur d'hiver -,le dernier train rentre,dans le tunnel,tempslibre
jour d'hiver -,toutes ces statues nues,dans le parc,tempslibre
panne de courant en hiver -,toute la maison,pleine de nuit,tempslibre
ciel clair -,un vieil homme balaye,les feuilles mortes,tempslibre
tremblement de terre de cette nuit --,les arbres sans feuilles,au soleil,tempslibre
chambre vide -,les ombres des clous,sur les murs,tempslibre
matin humide -,une abeille flotte,dans la fontaine,tempslibre
fleurs d'automne -,de vieux hommes dnas le parc,prennent le soleil,tempslibre
rentrée des classes -,le soleil éclaire,le jus d'orange,tempslibre
ouragan lointain -,au milieu de la pluie,un téléphone sonne,tempslibre
tonnerre lointain --,un homme d'affaires parlant,dans son portable,tempslibre
pluie de printemps --,entre elle et moi,des centaines de gouttes,tempslibre
lundi matin --,un papillon blanc suit,les rails du train,tempslibre
après le tremblement de terre,une feuille tombe,dans le patio,tempslibre
attendant le bus,un chien errant sniffe,mon ombre,tempslibre
bruit de la pluie --,après un moment,elle appelle mon nom,tempslibre
vitre de la fenêtre --,au bout de mon doigt,la lune froide,tempslibre
vacances de printemps --,des tentes pleines de couleurs,dans le désert,tempslibre
long voyage --,au bout de l'autoroute,la lune,tempslibre
paysage de ville --,la lune monte,d'une cheminée,tempslibre
j'attends le bus --,au bout de la rue,coucher de soleil,tempslibre
chaud jour d'hiver --,l'odeur ,d'un nouveau livre,tempslibre
mur d'usine --,l'odeur,d'un nouveau graffiti,tempslibre
demi-lune jaune --,les ouvriers parlent,de tortillas,tempslibre
Saint-Valentin --,le ballon en forme de coeur,ne rentre pas dans le taxi,tempslibre
poubelle --,des mouches,et les ombres des mouches,tempslibre
embouteillage --,des femmes parlent des hommes,à la radio,tempslibre
auto abandonnée --,les feuilles accumulées,sur le parebrise,tempslibre
pluie soudaine --,des bonbons tombés,sur le trottoir,tempslibre
place vide --,il n'y a plus,de lumières de Noël,tempslibre
lumière de l'an neuf --,poussière d'un jour,sur mon clavier,tempslibre
pluie froide --,des milliers comme moi,qui vont travailler,tempslibre
aube du lundi --,le silence,des feux de signalisation,tempslibre
premier gel --,seuls deux passagers,parlent ...,tempslibre
chaleur du metro --,la brise,du train qui arrive,tempslibre
embouteillage --,une autre étoile apparait,dans le ciel,tempslibre
attendant le bus --,mon ombre,aussi change de posture,tempslibre
éclair à la fenêtre --,le train arrêté,dans l'orage,tempslibre
jour sans vent --,un homme sifflote,dans la rue,tempslibre
trafic de nuit --,elle me parle de,cholesterol,tempslibre
nuit étoilée --,les phalènes tournent autour,du réverbère,tempslibre
éteindre la lumière --,la nuit dehors,et dans la chambre,tempslibre
nettoyage d'automne --,un tiroir de bureau ,plein de bics sèchés,tempslibre
le chauffeur de taxi,me raconte sa vie --,pluie d'automne,tempslibre
pigeons sur les fils --,il accorde sa guitare,contre un poteau,tempslibre
pluie d'automne --,un homme tatoué vend,des marquers indélébiles,tempslibre
nuit d'étoiles --,un ballon blanc flotte,dans la piscine,tempslibre
jour nuageux --,le klaxon,d'un taxi jaune ,tempslibre
arrêt de bus --,un parfum de femme,dans l'air,tempslibre
fenêtre du metro --,elle sourit à,mon reflet,tempslibre
elle regarde ses,photos d'enfance,mon amie plus vieille que moi,tempslibre
soleil du matin --,les longues ombres,des petites pierres,tempslibre
croissant de lune --,elle coupe ses ongles,dans le jardin,tempslibre
nuit d'étoiles,dans la chambre voisine,ma mère malade,tempslibre
ballons de l'an neuf --,la femme enceinte,se contemple dans le miroir,tempslibre
coucher de soleil nuageux --,un signal solitaire,passe au rouge,tempslibre
championnat de foot,la lune d'hiver,sur le stade,tempslibre
lumières de Noël,la silhouette des arbres,dans le noir,tempslibre
paysage d'hiver --,une plaque indicatrice dans la neige,pointe vers nulle part,tempslibre
tour de verre --,la lune fait partie,de la façade ouest,tempslibre
bus encombré,chaque passager respire,le même automne,tempslibre
nouvelle voiture jaune,les feuilles d'automne,sur le pare-brise,tempslibre
fenêtre du bus --,elle voyage avec la pleine lune,sur sa tête,tempslibre
une poussière plus épaisse,sur le petit Bouddha --,début d'automne,tempslibre
café avec terrasse,sur les chaises vides,les feuilles mortes,tempslibre
des chiens aboient,peut-être ai-je été un chat,dans une autre vie,tempslibre
odeur de pluie,par la fenêtre ouverte,pas de moustique,tempslibre
vent d'automne,une enfilade de feux rouges,devient le soleil couchant,tempslibre
fenêtre de métro,elle et son reflet,pleurent en même temps,tempslibre
ville de 20 millions de personnes,une autre lampe de rue,dans la nuit,tempslibre
une enfilade de feux de signalisation,change du rouge au vert,pleine lune d'été,tempslibre
tour d'appartements,une nouvelle lettre,pour le voisin décédé,tempslibre
lavant mes vêtements,quelqu'un me regarde,croissant de lune,tempslibre
jour couvert,un penny brille,sur le trottoir,tempslibre
fenêtre ouverte,le bruit de la pluie,interrompt mon rêve,tempslibre
pluie d'été,un autre moi rentre à la maison,sous moi,tempslibre
marché aux puces,une mouche immobile fait partie,de la vieille horloge,tempslibre
à chaque gorgée,de la bouteille,le clair de lune sur mon visage,tempslibre
feuilles mortes,quelques étoiles brillent,dans le ciel,tempslibre
en chômage,mais j'écris des haïku,sur la pluie,tempslibre
salle d'attente,les étoiles apparaissent,une par une,tempslibre
une file de fourmis,l'empire state building,au loin,tempslibre
quelques passagers vont,quelques passagers viennent,soir de printemps,tempslibre
truite poellée,j'apprends quelque chose de nouveau,sur mon père ,tempslibre
bien avant que je vienne,bien après mon départ,le poirier en fleurs ,tempslibre
une étoile qui tombe,une autre femme dit,'moi aussi',tempslibre
solstice d'hiver,l'obscurité grandissante,dans le couloir de la mort ,tempslibre
un corbillard quitte,l'enceinte pénitentière,lune froide ,tempslibre
chaleur de l'été,des libellules s'évadent ,du crayon du prisonnier ,tempslibre
Independence Day,les gardes du mirador,retranchés et armés ,tempslibre
la dette du prisonnier,bientôt payée en totalité,lune décroissante ,tempslibre
