line_1,line_2,line_3,source
sécheresse de la rivière-,dans les mains de l'enfant,un bateau en papier ,tempslibre
excursion printanière -,sur l'herbier,se pose un papillon ,tempslibre
bientôt le printemps-,dans le four de terre,sont nés les chatons ,tempslibre
lever du soleil -,"de la ""dalla""*déborde",le café du matin ,tempslibre
glace fine-,à la première rencontre,la relation s'arrête ,tempslibre
premier rendez-vous-,les fumées de leurs cigarettes,s'entrelacent ,tempslibre
Soleil de midi —,Eparpillés autour des grand-mères,les graines de tournesol ,tempslibre
Larmes -,Sur la table du café,elle laisse sa tasse,tempslibre
Gouttes de pluie -,Sur le tapis de prière,les paumes des mains vers le ciel ! ,tempslibre
route rapide,entre un arbre et un arbre,la Lune se lève ! ,tempslibre
décharge,mangées par les chèvres,de vieilles lettres d'amour ! ,tempslibre
limousine-,dans les décorations du pneu,les restes d’une sauterelle ,tempslibre
froid intense -,elles se serrent bien fort,les feuilles de salades ,tempslibre
Du vert intense,en écossant les petits pois -,moment suspendu ,tempslibre
Reflet,Sur la fenêtre du bûcheron,L' arbre a chuté ,tempslibre
Passage de la frontière-,les feuilles d'automne,sur la rivière ,tempslibre
Coccinelle,point rouge,sur la croix de la tombe ,tempslibre
Après la mort de l'oiseau,Des gouttes de pluie,Sur les barres de cage ,tempslibre
soleil du matin,l'ombre du facteur,sur les fleurs blanches ,tempslibre
Corde à linge,balancent à gauche et à droite,les vêtements du violoniste ,tempslibre
Cimetière,la coquille d'escargot,pleine de pluie ,tempslibre
Jour de l'Indépendance,les fleurs tombent,au lever du soleil ,tempslibre
Les ruines de la maison,l'araignée,Retisse sa toile ,tempslibre
Whatsapp,Les mots de ma mère,Au son des gouttes de pluie ,tempslibre
Nostalgie,premières gouttes de pluie,sur le rail ,tempslibre
Ta chemise blanche,soleil suspendu,dans mon armoire ,tempslibre
Retour des oies,des dizaines de lettres,dans ma boîte ,tempslibre
La ville est dévastée.,L'ombre d'un dictateur.,Dans la mosquée. ,tempslibre
WhatsApp -,La pluie tombe sur le visage de ma mère.,Au Centre des réfugiés. ,tempslibre
Le vieux puits.,Un écho.,Avec chaque balle. ,tempslibre
Les adieux,son ombre dans,ma valise ,tempslibre
Avec la pomme rouge.,Ramasse le vieux jardinier.,La dernière lumière du jour. ,tempslibre
Maison de la famille ,le goût du bonheur reste encore ,dans le vieux cerisier ,tempslibre
Avec la vieille balançoire,les souvenirs ,viennent et vont ,tempslibre
horloge sans aiguilles,sur ta fenêtre abandonnée,la lune,tempslibre
Maison abandonnée,de la fenêtre cassée,la lune sort,tempslibre
les lampes éteintes,sur la vitrine d'armes,la lune ,tempslibre
Deux ailes d'oiseau,ton rouge à lèvres,sur l'harmonica ,tempslibre
De ma main blessée,Je rouvre ,Tes anciennes lettres. ,tempslibre
Saint Valentin ,écoulement de la pluie ,sur la porte du cimetière ,tempslibre
(panneau Ceinture de sécurité,tout ce qui reste,sur le pont dévasté) ,tempslibre
Commençant avec une fleur,Et se terminant avec une fleur,Les limites de mon village,tempslibre
Gâteau rond,la lune ,sur ta fenêtre,tempslibre
Après le bombardement ,Même le mort,quitte sa tombe ,tempslibre
Oooh!,la neige a volé du voleur,les traces de ses pieds ,tempslibre
Éclair -,ton visage,dans l'obscurité ,tempslibre
Retour à la maison,l'ombre de la clé est devant moi,pour ouvrir la porte ,tempslibre
Dans la poussière diffusée,derrière le corbillard,l'odeur de la mort ,tempslibre
Maison des grands-parents,souvenir d'enfance,Dans la voix de la pluie ,tempslibre
Mes doigts,entre ses doigts,Piano ,tempslibre
Quelle rapidité,Sous la montre arrêtée de ma mère,Des battements de mon cœur ,tempslibre
La ville assiégée,la lune,entre et sort ,tempslibre
La fourmi,parle à une autre,sur le câble du téléphone ,tempslibre
maison des grand-parents,sur le vieux métier à tisser,des fils de lumière ,tempslibre
Portes fermés,devant le mendiant-,Même la porte du cimetière ,tempslibre
Croissant-,traces des dents de l'enfant,sur le chocolat ,tempslibre
école abandonnée,les noms des amis et leurs cœurs,sont encore sur les bancs ,tempslibre
Bague de mariage,Convient également pour dessiner,Une lune dans la neige ,tempslibre
Tombe du mendiant,Sa part des visiteurs,leurs ombres ,tempslibre
Pleins d'épingles,journaux de guerre,dans le magasin de mon voisin ,tempslibre
Le village abandonné,la rosée du matin,sur les fleurs du cimetière ,tempslibre
Après la lessive.,Une nouvelle fleur jaune,Dans la robe de ma fille. ,tempslibre
Tantôt rouge tantôt jaune,Sous les feux d'artifice,la main d'un mendiant ,tempslibre
Arrivée du train-,les vêtements flottent,Sur la corde à linge ,tempslibre
Retour à la maison,la chaise de ma grand-mère morte,se balance sur la terrasse ,tempslibre
Décombres-,dans l'œil vide de la poupée,les gouttes de la pluie tombent ,tempslibre
Avec le mur détruit,les mots aussi,Se brisent ,tempslibre
maison abandonnée,les gouttes de pluie sont restées,sur les pinces à linge ,tempslibre
Comme à la cérémonie du drapeau,se rangent l'un près l'autre,Les cercueils des enfants. ,tempslibre
Le retour d'Alep,Plus rapides que le bus,Les battements de mon cœur ,tempslibre
Cimetière de mon village,toutes les histoires de guerres,sur les pierres tombales ,tempslibre
La cour de la prison,dans la flaque de la pluie,la lune ,tempslibre
premières écritures,sur le nouveau mur de l'école,pluie de printemps ,tempslibre
Un morceau de charbon brûlé,il paraît dans l'obscurité,le navire des émigrés ,tempslibre
Jardins d' Alep,même toi escargot,cherche le printemps ,tempslibre
ablation du sein,entre la vie et la mort,le tatouage du papillon ,tempslibre
ablation du sein,entre la vie et la mort,le tatouage du papillon ,tempslibre
Matin d'automne,de ma poitrine,le brouillard sort ,tempslibre
balançoire à la lune,son soutien,Sur la corde à linge ,tempslibre
Après le bombardement,ombre du château,sur les restes du mur ,tempslibre
La voix du bombardement se lève-,du haut de la cascade,la lune tombe ,tempslibre
comme des boîtes aux mouchoirs,les tentes des émigrés se pressent,sous la neige ,tempslibre
Tempête de sable,le corbillard,couvert de poussière ,tempslibre
Naissance de jumeaux,le premier mort,l'autre ne cesse pas de pleurer ,tempslibre
Maison abandonnée,d'une fenêtre à l'autre,la lune se déplace ,tempslibre
Les jardins d'Alep en 2016,même l'escargot,a laissé sa coquille et s'est enfui ,tempslibre
place du village,le temps du bombardement est toujours,sur l'horloge brisée ,tempslibre
Village abandonné,au long du chemin de fer,les feuilles d'automne ,tempslibre
Journaux de guerre,Encore une fois,Mon nom parmi les victimes ,tempslibre
Le village abandonné,de la poignée de la porte,des gouttes de pluie tombent ,tempslibre
Après le bombardement,d'une ouverture dans le toit,Je médite à la lune  ,tempslibre
En descendant au tombeau,le cercueil de la danseuse,Se balance à droite et à gauche ,tempslibre
Boîte à bijoux de ma grand-mère,Et elle n'a pas vendu,Des lettres d'amour ,tempslibre
derrière la montagne,vers mon village,la lune descend ,tempslibre
souriant,il tond les herbes,le jardinier chauve ,tempslibre
De la tombe à l'autre,une dernière feuille d'automne,se déplace ,tempslibre
après la neige,Comme deux ailes d'une mouette,les tentes des émigrants ,tempslibre
Piano de la famille,Sa part de la guerre,doigts amputés ,tempslibre
Le village abandonné,Le reste de la vie,Dans la voix du coq ,tempslibre
Noël sans neige -,juste un quartier de pomme,sur le couteau ,tempslibre
vent du nord -,se mélangeant au lilas,parfum de femme ,tempslibre
ciel de cendre -,lourd comme la pluie,le vol du héron ,tempslibre
fin d'été,dans les bagages,les habits d'automne ,tempslibre
chaleur écrasante,les girolles,sous la mousse,tempslibre
lunch al fresco,leaving out a chair,for the sun ,tempslibre
Piaillements d'oiseaux,tôt le matin,vous avez un message ,tempslibre
Glisser l'errata,dans les haïkus pour la Paix,- Lune presque pleine ,tempslibre
tramway bondé,à chaque station,un arbre en fleur ,tempslibre
matin de brouillard...,je lave à la main,mon foulard blanc ,tempslibre
journée des retraites -,une mite s'emmêle,dans mes cheveux ,tempslibre
de la bourriche,l'écrevisse s'échappe...,pensée pour mon fils ,tempslibre
un peu avant l'aube,éolienne immobile,- vendredi saint,tempslibre
orange sanguine,en morceaux sur la table,après son départ ,tempslibre
novembre ,le couteau heurte le vide ,de la meringue  ,tempslibre
encore la nuit,je couds un petit accroc,en forme de coeur ,tempslibre
labour d'octobre,aux coudes aux cuisses,des fils de la vierge ,tempslibre
vingt ans de mariage,d'une orchidée à l'autre,un fil d'araignée ,tempslibre
lundi de neige,pas encore effacés,les pas du facteur ,tempslibre
après la manif,elle dessine le plan,de son potager ,tempslibre
4 février -,sur le muret plus longtemps,la merlette ,tempslibre
pleine lune,au réveil les champs ,tout blancs ,tempslibre
février,qui de lui ou la lune,m'a réveillée ? ,tempslibre
au couteau ouvrir ,les pages d'un livre de Haïku ,- soirée d'automne  ,tempslibre
matin de brouillard,près des buissons l'odeur,de fleurs blanches ,tempslibre
papier défraîchi -,tes mains fraîches sur mes hanches,- chambre quatre ,tempslibre
seule ce soir ,une goutte après l'autre ,quelque part  ,tempslibre
tas de repassage - ,dans la jupe de l'été ,trois pignons de pins  ,tempslibre
Entrée du bois -,débris de faïence WC,sous l'églantier en fleur,tempslibre
grêlons -,la pointe du sein,entre pouce et index,tempslibre
sieste -,ma main sur mon sein,la fuite des nuages,tempslibre
matin d'octobre -,sur la barque rouge,le héron,tempslibre
pendu par les pieds,le chevreuil dépecé,"plus loin, les perce-neiges",tempslibre
soleil levant,elle dessine sa bouche,dans le retro,tempslibre
troisième jour d'école,dans son cartable si lourd,dix fois le silence,tempslibre
extrême onction,les ventres qui gargouillent,le merle dehors,tempslibre
porte entrouverte -,les guirlandes s'illuminent,une seconde,tempslibre
matin d'hiver -,gelée de myrtilles,mes seins si blancs ! ,tempslibre
rue Saint Honoré,dégringolée de nulle part,la feuille de ginkgo,tempslibre
feux d'artifice...,crier de joie à la vue,du ver luisant,tempslibre
Juno Beach-,"mon corps dans la mer,",ma mère au bord,tempslibre
rage de dents -,sur le toit les serres,des pigeons,tempslibre
"soir de mai,",les carottes sauvages dépassent,l'horizon,tempslibre
"Dans la poubelle,",un exemplaire du Monde,encore frais,tempslibre
lune de janvier,la peau la plus fine,apparaît,tempslibre
mélèze roux,herbe bleue -,l'aube,tempslibre
pleine lune sans nuages,cinq doigts tambourinent,sur-une-chute-de-reins,tempslibre
rouge sang,dans les mâchoires de la benne,le dahlia,tempslibre
sous l'épervier,faisant le Saint Esprit :,un tas de fumier,tempslibre
Best Of Mac Donald,deux limaçons roux,sur une frite,tempslibre
vieux livre trouvé -,un brin de lavande parfume,le serial killer ,tempslibre
un petit matin,de roses fanées-,novembre si long... ,tempslibre
jour de tempête-,envolés la terre et le ciel,de la marelle ,tempslibre
les amis partis -,dans la trace de leurs pas,que de pluie ,tempslibre
confinement-,le soleil fait le tour,de mon lit ,tempslibre
dans une flaque d 'eau,il picore un peu de ciel,le jeune pigeon ,tempslibre
masque de beauté-,sous la douceur du camélia,oublier la pluie ,tempslibre
pluie glaciale-,dans mon cahier impassibles,de grands oiseaux bleus ,tempslibre
lune très ronde,dans quelques heures,l'enfant ,tempslibre
marée très très haute-,moi aussi je marche,sur l'eau…. ,tempslibre
nuit de pluie,dans la flaque ,un quart de lune ,tempslibre
collée sur le bitume- ,l'ombre de la vieille dame,n 'avance plus ,tempslibre
pleine lune-,dans la chambre,le bruit des minutes ,tempslibre
jour d 'émeutes-,sous les fumigènes,un lilas blanc ,tempslibre
pommiers en fleurs-,la vieille balançoire,immobile... ,tempslibre
soirée de brume-,une note solitaire,s'échappe d'un saxo ,tempslibre
éviter la crue,la retrouver dans la nuit,lui parler longtemps,tempslibre
Buée du matin,Le chiffon bleu dans l’auto,Essuie l’hiver ,tempslibre
corde à linge -,entre les ailes du papillon,un peu de vent ,tempslibre
la punaise morte ,enterrée peu à peu,- pluie martelante ,tempslibre
route de nuit,pour seule compagne,l'étoile du nord ,tempslibre
court-bouillon,la seiche,trempée jusqu'à l'os ,tempslibre
quatrième café -,poursuivant le soleil,d'une terrasse à l'autre ,tempslibre
porcelaine de famille,la délicatesse des roses,à peine ébréchée ,tempslibre
lune de mars,la voie ferrée brille,à fleur d'étang ,tempslibre
ardoises vernies,la lune se mire,dans la pisse du chat ,tempslibre
Lune d'octobre,Un voile de cacao,Sur la porcelaine ,tempslibre
Des pyjamas noirs,ébouriffés par le vent.,Envol des corbeaux.,tempslibre
une grosse cigale,se dépose sur ma main,nos yeux se croisent,tempslibre
entre les feuilles du févier,se glissent,les étoiles filantes,tempslibre
midi ensoleillé,l'espace entre nous,se remplit de chaleur ,tempslibre
nuit blanche,la rumeur d'amour des eiders,au large,tempslibre
la pluie,dans le paysage jauni ,de septembre ,tempslibre
le homard du dessus,avec ses yeux en forme de boutons,me fixe ,tempslibre
août,tous les insectes chanteurs,jour et nuit ,tempslibre
un peu de vent,sur mes épaules nues,odeur de matin ,tempslibre
matin d'été,un champ d'orge encore vert,entoure l'abbaye en ruines,tempslibre
des fleurs,coupées précocement,sur le trottoir,tempslibre
les hautes herbes,courbées sous l'aile de la buse,midi,tempslibre
voeu d'obéissance,les hautes herbes courbées,dans l'harmattan,tempslibre
la sève,coule à flanc d'érable,gélivures,tempslibre
les feuilles rouges,les premières à tomber,un porto ce soir,tempslibre
jardin zen,les stèles émergent du sable,un autre soldat mort,tempslibre
août déclinant,la stridulation du criquet,huasse d'un ton,tempslibre
pleine lune -,il manque deux soirs,à sa rondeur,tempslibre
ses cheveux coiffés,à l'abri du vent sud-ouest,tombe ouverte,tempslibre
il prolonge,la soufflerie de l'ordinateur,le grillon ,tempslibre
les enfants font,flotter des lanternes de couleur,soir d'Hiroshima ,tempslibre
chez l'antiquaire --,au fond de l'armoire vide,les rais du soleil,tempslibre
tombée du jour,suivre la guerre sur l'écran,dormir sans rève,tempslibre
arrêt d’autobus,chemins de sable à droite,s’enliser vers où ?,tempslibre
tempête de mars,dans le four à bois,l'odeur du levain ,tempslibre
Jour de manif,les slogans défilent devant,l'étal d'oranges ,tempslibre
impasse des lilas,le camélia en fleurs,qui le félicite ?,tempslibre
impasse des lilas,la maison en ruine,n'attend que les oiseaux ,tempslibre
thé au gingembre,le gris grignote le bleu,du ciel landais ,tempslibre
fin de journée ,une odeur aigre douce,traîne dans le grenier ,tempslibre
matin pluvieux,un parfum de lavande,s'échappe de l'armoire ,tempslibre
fond de la ruelle,les senteurs du figuier,sous le soleil d'août ,tempslibre
tracteur bruyant,des épouvantails se dressent,dans les champs semés ,tempslibre
lune d'insomnie,sur la table de chevet,un livre ouvert ,tempslibre
jour de guerre,le champ de colza,ondule au vent d'avril ,tempslibre
fin de journée,quelques feuilles de menthe,dans son verre ,tempslibre
pluie de mars,sur le trottoir gris,des pétales rouges ,tempslibre
neige de février,jusque sous mes raquettes,le sable du Sahara ,tempslibre
arc en ciel,dans mon thé brûlant ,un peu d'eau froide ,tempslibre
fin du jour,je lèche la spatule de,la confiture d'oranges ,tempslibre
petit matin,le camion des poubelles,secoue mon rêve ,tempslibre
milieu de la nuit,dans ma tisane de thym,un morceau de lune ,tempslibre
quart de lune~,un peu de fraîcheur,sur le prunier ,tempslibre
ciel plombé,le silence des oiseaux,juste avant l' orage ,tempslibre
nuit bleue,dans la vieille bassine,le quartier de lune ,tempslibre
quart de lune,la moitié du potager,mangé par la nuit ,tempslibre
Colza en fleurs,si loin les sommets,enneigés ,tempslibre
lune froide,dans la bouillotte de graines,une odeur de lavande ,tempslibre
lune invisible,devant son café noir,il baille ,tempslibre
Matin de givre,sur ma tartine grillée,la gelée de groseille ,tempslibre
Entre deux averses,sur le trottoir d'en face,l'odeur du pain chaud ,tempslibre
journée de pluie,dans les sablés tout chauds,un goût de cannelle ,tempslibre
cathédrale grise,mes deux grand-mères mortes ...,lueur d'automne ,tempslibre
d'un automne à l'autre,tant de feuilles à ramasser,le rateau plus lent,tempslibre
goélands ,picorant sur l'ïle ,en route vers le travail,tempslibre
crèmes de beauté,le jour la nuit le jour,l'automne touche à sa fin,tempslibre
pour le goéland,déjeuner de moucherons,sur dos de baleine,tempslibre
retour de monnaie,dans la paume de ma main,la chaleur de ses doigts ,tempslibre
usine désaffectée --,en fleurs,le vieux mur de briques ,tempslibre
éclaircies,elle marche sur les nuages,la punaise au carreau ,tempslibre
fête foraine,coincé entre montagnes russes,et tir aux ballons ,tempslibre
soir solitaire --,ils semblent bien plus voraces,les moustiques ,tempslibre
2 h du matin,sous la lune l'autoroute,sent le fenouil ,tempslibre
grondement,ils ne larguent que de l'eau du lac,les bombardiers jaunes ,tempslibre
sur le lac miroir,la rayure d'un canadair,matin frais ,tempslibre
nuée d'orage --,encore plus le goût de cerise,ces cerises ,tempslibre
aube de Pâques ,deux Canadairs matinaux,réveillent les eaux ,tempslibre
7h20,un rayon orange sur la tasse,de café ,tempslibre
amour d'été,à pleine bouche,l'oignon de Lezignan ,tempslibre
solstice d'hiver,l'ombre des baleiniers,sur mes haïkus ,tempslibre
manif sociale,des chants de grues migratrices,survolent le bouchon ,tempslibre
tableau de bord ~,au dessus du gilet jaune,un piège à rêves ,tempslibre
sur le toit un homme,vibrant de coups de marteau,l’air d’automne ,tempslibre
sieste torride,les coups de marteau de l’homme,sur la faitière ,tempslibre
fond de la piscine,un vol de martinets noirs,nage dans l’azur ,tempslibre
nuée en approche,sur mon café du midi,pas une ride,tempslibre
cinquième de l’avant,il regarde vers la fenêtre,l’oiseau en cage ,tempslibre
pluie continue,pour rappeler le soleil ,un rhum arrangé ,tempslibre
lendemain de vote,une mouche entre les verres,du double vitrage ,tempslibre
thé à la menthe,sur l’eau la pleine lune,à peine voilée ,tempslibre
village perdu,une vieille à sa fenêtre,veille sur le virage ,tempslibre
milieu de nuit,le biseau de l'aiguille,trouve la veine ,tempslibre
courses de Noël,des enfants dans les gravats,plein les écrans ,tempslibre
28° jour,en miroir sur le fleuve,à nouveau la lune ,tempslibre
retour de WE,sur la bande d’arrêt d'urgence,un chaton joue ,tempslibre
matin de brume,dans mon café mexicain,du sucre d'érable ,tempslibre
Lisbonne Bergerac,le va et vient incessant,des essuie-glaces ,tempslibre
7° de janvier ~,les rubans noirs remplacent,les bonnets rouges,tempslibre
midi du jour 8 ~,les sirènes ne font pas,taire les oiseaux,tempslibre
halo solaire ~ ,la brume sent le cheval,et le feu de bois ,tempslibre
marée montante ~,sur le quai des marginaux,descendant du rhum ,tempslibre
cinquième étage ~,après-rasage et encens,montent de la rue ,tempslibre
tram de nuit ~,ne pas oublier d'ôter,le badge Bikko !  ,tempslibre
Une mèche grise ,s'échappant d'un bonnet bleu. ,Giboulées de mars.,tempslibre
"Six oiseaux, puis un,","au ras des vagues blanches,",la plage bondée.,tempslibre
Elles pointent un oeil,"printemps précoce en vue,",les pommes de terre ! ,tempslibre
after the bell,just the rain on the umbrellas,ashes to ashes ,tempslibre
matin de mars,regarder vers l'est,fukushima ,tempslibre
soleil froid,dans le parlement,leurs hurlements ,tempslibre
tempête d'hiver,une goutte traverse la vitre,de goutte en goutte ,tempslibre
soleil d'automne,les pas de mon père,plus lents,tempslibre
un point plus sombre,dans la neige de l'échographie,pleine lune d'automne,tempslibre
pleine lune --,après la soupe aux potirons,son ventre plus rond,tempslibre
dans le brouillard,de mon haleine se perd,le train du soir ,tempslibre
sur le pont,les gens plus pressés,pluie d'été,tempslibre
chutes de neige,le sachet de thé s'enfonce,lentement dans l'eau,tempslibre
sous ma paume,ses seins plus gros,soleil d'hiver,tempslibre
soir de décembre,sur l'écran de l'échographie,que de la neige,tempslibre
crépuscule d'hiver,l'ombre de l'épouvantail,dépasse le champ,tempslibre
lentement,le scarabée avance,tempête de juin,tempslibre
pleine lune,l'ombre de ses seins,se pose sur moi,tempslibre
début mars,sur la carcasse du chien,les premières mouches,tempslibre
marée basse -,dans le fortin écartelé,le cadavre d'un chien,tempslibre
soleil couchant,sur la vitre du quatrième,la trace d'un oiseau,tempslibre
comme l'année dernière,le cerisier en fleurs,cache les buildings,tempslibre
des ronds dans le sable,et puis des ronds dans l'eau,marée basse et puis haute,tempslibre
tailler les asters ,juste pour leur parfum,qui colle aux mains  ,tempslibre
Périphérique nord,L'arbre nu tend ses bourgeons,aux lampadaires blêmes ,tempslibre
Le jour s'éteint,Au coeur du vieux temple,Le bouddha veille ,tempslibre
feu rouge,un haïku traverse,ses pensées ,tempslibre
rien à la télé,deux pies s’accouplent,sur une antenne ,tempslibre
mon reflet efface,les champs au couchant -,trajet de nuit ,tempslibre
fleurs d'amandier -,de branche en branche,le noir d'une pie ,tempslibre
les yeux du chat,se ferment lentement,lune voilée ,tempslibre
la rouille,d'un vieil arrosoir,et ce thé d'automne ,tempslibre
mes lèvres rouges,dans le rétroviseur - ,fin de chantier ,tempslibre
fin de chantier -,les traces luminescentes,d'un escargot ,tempslibre
tant de pissenlits ,la Côte-Nord à nouveau ,en zone jaune ,tempslibre
il porte le ciel,au bout de ses branches,l’arbre mort ,tempslibre
plus grise la plage,sans les rires d’enfants,jour de rentrée ,tempslibre
Pâques à Sept-Îles,de l’eau salée à cueillir,plein les yeux ,tempslibre
dans mon miroir,le visage de ma grand-mère,déjà,tempslibre
soir d'été ,les pétales des jasmins collés ,à la canne de l'aveugle ,tempslibre
décombres,aucune trace de frontière,entre deux pays ,tempslibre
nuit sans lune,le vieillard allume,son abat- jour ,tempslibre
solstice d'hiver,le bruit de sa vieille moto,dans le calme ,tempslibre
ciel d'automne,des va et vient,toute la journée ,tempslibre
"Avant de partir,",dans le miroir du salon,tes yeux et les miens.,tempslibre
parking,dans le souffle du vent,une odeur verte ,tempslibre
thé à la menthe-,ses yeux encore plus verts,les jours de pluie ,tempslibre
la lune de décembre,masquée par les nuages,j'allume ma veilleuse ,tempslibre
ombres du soir,lentement sur son ventre,ma main... ,tempslibre
parc en hiver,le manège illuminé tourne,sans enfants ,tempslibre
lendemain d'émeute -,la trace de l'escargot,s'étire en silence ,tempslibre
lendemain d'émeute -,sur les carcasses calcinées,les vrilles des glycines ,tempslibre
nuit d'insomnie,le souvenir de disputes,pour des raisons oubliées ,tempslibre
grand ciel bleu,dans un coin sombre un papillon,occupé à mourir ,tempslibre
solstice d'été -,doucement ma fille m'annonce,qu'elle est devenue femme ,tempslibre
pleine lune,le chat s'asseoit,sur son ombre ,tempslibre
montée de chaleur,la tulipe cramoisie,grosse d'un bourdon ,tempslibre
montée de chaleur -,offerte ouverte sur le muret,la glycine ,tempslibre
méditation -,mon ventre en conférence,avec les corneilles ,tempslibre
coup de vent -,la poubelle sourit,de tout son couvercle  ,tempslibre
on le remarque à peine,entre deux tas de feuilles mortes,le clochard assoupi,tempslibre
mon stylo vide,en laissant entrer la nuit,je recharge,tempslibre
détachées du ciel,les premières grosses gouttes,dans ma pierre à encre,tempslibre
touffeur nocturne -,la petite chienne se lève,sous la voie lactée,tempslibre
croisés dans la foule,deux seins nus sous une robe,et un parfum de bonbon,tempslibre
en retard,je prends le temps de noter,un haïku,tempslibre
trottoirs de Paris -,des sapins qui marchent tout seuls,bientôt Noël,tempslibre
gouttes bruyantes,pas feutrés dans l'escalier,l'imprimante ronronne ,tempslibre
une île flottante,à coups de petite cuillère -,m'échapper du monde ,tempslibre
reflet dans la vitre,de son visage en pleurs -,bruit sourd de la pluie ,tempslibre
à la fin du jour,l'ombre du chêne traverse,la rue du village ,tempslibre
un  busard perché,sur les fils téléphoniques -,the big brother,tempslibre
coupe de cheveux -,les seins doux de la coiffeuse,contre mon épaule,tempslibre
le premier de l'an -,tout comme hier le geai bleu,fait tout un raffut,tempslibre
