line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
I forgot to buy, myself a cupcake you dumb,mother fucker Dad,twaiku,5,8,5,I forgot to buy  myself a cupcake you dumb mother fucker Dad
trying not to be, a lil emo bitch but like,it's just who i am,twaiku,4,8,5,trying not to be  a lil emo bitch but like it's just who i am
Being an adult, is filing your taxes on,a Saturday night,twaiku,4,7,5,Being an adult  is filing your taxes on a Saturday night
People would say bad, stuff about Wale with the hopes,that he would respond,twaiku,5,9,5,People would say bad  stuff about Wale with the hopes that he would respond
Now addicted to, tattoos and this is not good,for my bank account,twaiku,5,7,5,Now addicted to  tattoos and this is not good for my bank account
Ok I've come to, the decision I'm staying,my ass home tonight,twaiku,6,6,6,Ok I've come to  the decision I'm staying my ass home tonight
And I never have, to worry about the love,thieves ever again,twaiku,6,8,6,And I never have  to worry about the love thieves ever again
Lots of research on, Jerry ever look back in,his early days here,twaiku,5,7,6,Lots of research on  Jerry ever look back in his early days here
I'm praying but don't, see the signs I've been praying,for you to be mine,twaiku,4,7,6,I'm praying but don't  see the signs I've been praying for you to be mine
I like finding them, scratch marks a day later them,be my battle scars,twaiku,6,7,5,I like finding them  scratch marks a day later them be my battle scars
And even when she's, a bitch and doesn't like you,she doesn't hide it,twaiku,5,7,5,And even when she's  a bitch and doesn't like you she doesn't hide it
evening the priest,let three rivers flow,and a woman sing to her child,img2poems,5,5,8,evening the priest let three rivers flow and a woman sing to her child
Love is rubbing the, other persons back even,tho you're half asleep,twaiku,6,7,6,Love is rubbing the  other persons back even tho you're half asleep
Whatever you have, to offer is probably,not enough for me,twaiku,6,7,5,Whatever you have  to offer is probably not enough for me
jealousy rots the, bones drake lied It's not love and,hate at the same time,twaiku,5,10,8,jealousy rots the  bones drake lied It's not love and hate at the same time
I just approved and, Wanted to respond quickly,cannot both be true,twaiku,6,7,5,I just approved and  Wanted to respond quickly cannot both be true
kitchen embrace,the smell of her hot,apple pie,tempslibre,5,5,3,kitchen embrace the smell of her hot apple pie
Ok away we, go only thing we have on,is the radio,twaiku,4,8,4,Ok away we  go only thing we have on is the radio
I literally, want to start an entire,weight gaining journey,twaiku,5,7,5,I literally  want to start an entire weight gaining journey
the?paper?rustle,of?eucalyptus,still?no?rain,sballas,5,5,3,the?paper?rustle of?eucalyptus still?no?rain
Knee-deep in Erin's,"blood, she mocks Christ's moan: Forgive","them, Lord!",gutenberg,5,8,2,"Knee-deep in Erin's blood, she mocks Christ's moan: Forgive them, Lord!"
French Montana and, Drake are undefeated I,speak only the facts,twaiku,5,9,5,French Montana and  Drake are undefeated I speak only the facts
Gotta work hard and, focus for this league Thankyou,for the blessings Lord,twaiku,5,8,5,Gotta work hard and  focus for this league Thankyou for the blessings Lord
Who has the better, looking kids between robert,lee stan loon jay z,twaiku,5,7,4,Who has the better  looking kids between robert lee stan loon jay z
Next person I shave, my legs for who cancels can,suck my fucking strap,twaiku,6,7,5,Next person I shave  my legs for who cancels can suck my fucking strap
OK Twitter ads, are just trolling me now it's,Microsoft city,twaiku,4,8,5,OK Twitter ads  are just trolling me now it's Microsoft city
Lol whoever saw, my last tweet yes I'm high I'm,gonna code it tho,twaiku,4,7,6,Lol whoever saw  my last tweet yes I'm high I'm gonna code it tho
"with each pull of oar,",tadpoles scatter,from the lily pads,sballas,5,5,5,"with each pull of oar, tadpoles scatter from the lily pads"
Once You Start Doing, What You Love Something Just Drives,You To Never Stop,twaiku,5,10,5,Once You Start Doing  What You Love Something Just Drives You To Never Stop
blasts from niffelheim,lifted the sheeted mists,around him as he passed,img2poems,5,6,7,blasts from niffelheim lifted the sheeted mists around him as he passed
Lobo Gang I'm tuned, in we going dancing this,year Turn up fellas,twaiku,6,6,5,Lobo Gang I'm tuned  in we going dancing this year Turn up fellas
” A gentle wind fans,the calm night: A bright moon shines,on the high tower.,gutenberg,5,8,5,” A gentle wind fans the calm night: A bright moon shines on the high tower.
how about a big, fuck you to anyone who's,ever hurt me x,twaiku,5,7,4,how about a big  fuck you to anyone who's ever hurt me x
here's to you mrs, robinson jesus loves you,more than you will know,twaiku,4,8,6,here's to you mrs  robinson jesus loves you more than you will know
win surrounded by, a bunch of american,food is SENDING me,twaiku,5,7,5,win surrounded by  a bunch of american food is SENDING me
I got to London, United States Routing YOU,CALL YOU It's either,twaiku,5,8,5,I got to London  United States Routing YOU CALL YOU It's either
Top two of solos, and my game crashes along,with my hopes and dreams,twaiku,5,8,6,Top two of solos  and my game crashes along with my hopes and dreams
fly fly,ye sparrows,you are free,img2poems,2,3,4,fly fly ye sparrows you are free
Veteran's Day ,the old dog's,gray muzzle,haikuzao,4,3,3,Veteran's Day  the old dog's gray muzzle
If anyone in, the room is actually,surprised raise your hand,twaiku,5,6,7,If anyone in  the room is actually surprised raise your hand
cloud shadows ,and eagle picks over,what the tide left,haikuzao,3,6,5,cloud shadows  and eagle picks over what the tide left
Tried to sit outside, for a bit before work but,the wasps are out Nope,twaiku,6,8,7,Tried to sit outside  for a bit before work but the wasps are out Nope
My cat doing the, most teeny weeny cat snore,it's adorable,twaiku,4,8,5,My cat doing the  most teeny weeny cat snore it's adorable
who even watches, the oscars like that's the most,boring thing ever,twaiku,5,8,5,who even watches  the oscars like that's the most boring thing ever
The shutdown was less, than a week ago longest,week of my damn life,twaiku,5,7,6,The shutdown was less  than a week ago longest week of my damn life
Well I was about, to ask why she did that but,there's a lot more Dang,twaiku,5,7,7,Well I was about  to ask why she did that but there's a lot more Dang
If you stop fighting, for someone you love then do,ya really love them,twaiku,5,9,6,If you stop fighting  for someone you love then do ya really love them
I won't ever see, this movie again Even,if you pay me Nope,twaiku,5,7,6,I won't ever see  this movie again Even if you pay me Nope
Imagine being, the first person to ever,hear a parrot talk,twaiku,5,7,5,Imagine being  the first person to ever hear a parrot talk
It took twenty years, but my mom is finally,making penis jokes,twaiku,5,7,6,It took twenty years  but my mom is finally making penis jokes
That moment when you, pretend to be on a call,to ignore someone,twaiku,5,7,7,That moment when you  pretend to be on a call to ignore someone
icicles,a thread of light,from the street lamp,sballas,3,4,4,icicles a thread of light from the street lamp
dead need the eagles, to beat the patriots Tom,Brady is too clutch,twaiku,5,6,5,dead need the eagles  to beat the patriots Tom Brady is too clutch
Okay but Eddie, Sam and Dean in one damn room,In one damn bed Bye,twaiku,5,8,6,Okay but Eddie  Sam and Dean in one damn room In one damn bed Bye
Why do you people, still obsess about her She's,not running again,twaiku,5,7,5,Why do you people  still obsess about her She's not running again
daily tweet about, how much i miss harry can,he come back today,twaiku,5,7,6,daily tweet about  how much i miss harry can he come back today
Finally done with, the show Rest tomorrow then,back to work again,twaiku,6,7,5,Finally done with  the show Rest tomorrow then back to work again
Why do people think, if they squint they eyes when they,sing it'll sound good,twaiku,5,7,4,Why do people think  if they squint they eyes when they sing it'll sound good
refugee girl,the red wagon without,a handle,modern_haikus,4,6,3,refugee girl the red wagon without a handle
when one boyfriend hurts, my feelings i can just text,all the other ones,twaiku,6,7,6,when one boyfriend hurts  my feelings i can just text all the other ones
Candles lit music, playing Time to relax and,tune out everything,twaiku,5,7,7,Candles lit music  playing Time to relax and tune out everything
Said to the angels, Come the morning falsehoods rule,Nothing never sees,twaiku,5,10,5,Said to the angels  Come the morning falsehoods rule Nothing never sees
You did not create, me to worry you did not,create me to fear,twaiku,5,7,5,You did not create  me to worry you did not create me to fear
Playing the bottom, lounge on Sunday Tickets at,bottom lounge website,twaiku,4,8,7,Playing the bottom  lounge on Sunday Tickets at bottom lounge website
When the weather get, warmer everybody turn,single just watch lol,twaiku,5,8,5,When the weather get  warmer everybody turn single just watch lol
So I'm planning on, writing a book and I don't,know what to begin,twaiku,5,7,5,So I'm planning on  writing a book and I don't know what to begin
Noses are sea green, violets are white sugar,is sweet and so on,twaiku,6,8,5,Noses are sea green  violets are white sugar is sweet and so on
That would reduce the, cost of the appeals process,considerably,twaiku,6,7,5,That would reduce the  cost of the appeals process considerably
I just fucking love, robots a lot is what I've,come to realize,twaiku,6,8,6,I just fucking love  robots a lot is what I've come to realize
frustrating being, surrounded by people and,still feeling alone,twaiku,4,7,6,frustrating being  surrounded by people and still feeling alone
Walls and fences all,"broken and gaping, Thorns and brambles",shooting up to the sky.,gutenberg,5,9,6,"Walls and fences all broken and gaping, Thorns and brambles shooting up to the sky."
Samuel Salt bae was, so stupid Jasmine what I,love Tom and Jerry,twaiku,5,8,6,Samuel Salt bae was  so stupid Jasmine what I love Tom and Jerry
beachcomber,grains of sand fill,her smile lines,sballas,3,4,5,beachcomber grains of sand fill her smile lines
I love Austin but, I'll love it a whole lot more,when I have a car,twaiku,6,10,6,I love Austin but  I'll love it a whole lot more when I have a car
the noir,of a beetle's carapace,passing rain,tempslibre,2,8,3,the noir of a beetle's carapace passing rain
The production and, samples on this meek album,is ridiculous,twaiku,5,7,5,The production and  samples on this meek album is ridiculous
yOU LITERALLY, SAID YOU WANTED TO SEE WHAT'S,IN LOUIS'S PANTS,twaiku,5,7,3,yOU LITERALLY  SAID YOU WANTED TO SEE WHAT'S IN LOUIS'S PANTS
The ability, to truly change and adapt,is true alchemy,twaiku,5,8,5,The ability  to truly change and adapt is true alchemy
Cyber Monday should, be illegal my broke ass,has no self control,twaiku,5,8,5,Cyber Monday should  be illegal my broke ass has no self control
I can't remember, the last time my diet was,this horrible lol,twaiku,5,7,5,I can't remember  the last time my diet was this horrible lol
""" The shadows of the geraniums","creep over the floor, and begin to climb",the opposite wall.,gutenberg,8,10,6,""" The shadows of the geraniums creep over the floor, and begin to climb the opposite wall."
cold morning---,a cockroach warms up,under my coffee cup ,tempslibre,3,5,6,cold morning--- a cockroach warms up under my coffee cup 
New Year's Eve,bubbles rise again,in the old crystal flutes,haikuzao,4,6,7,New Year's Eve bubbles rise again in the old crystal flutes
For our sake God, will jump protocol to bless,us in Jesus name,twaiku,5,7,6,For our sake God  will jump protocol to bless us in Jesus name
If you sense something, isn't for you then feel free,to leave it behind,twaiku,7,6,6,If you sense something  isn't for you then feel free to leave it behind
You're going to have, to grow up one day Being,here wasn't helping,twaiku,6,7,5,You're going to have  to grow up one day Being here wasn't helping
what the actual, fuck i honestly lost faith,in humanity,twaiku,4,7,5,what the actual  fuck i honestly lost faith in humanity
House Party Heavy, Thanksgiving a plate pound cake,bomb ass nap loading,twaiku,6,9,5,House Party Heavy  Thanksgiving a plate pound cake bomb ass nap loading
acc,: ) to greet to salute to address: pret,sg,img2poems,1,10,1,acc : ) to greet to salute to address: pret sg
Gutted I couldn't, come today but I will be,at the next one X,twaiku,4,8,5,Gutted I couldn't  come today but I will be at the next one X
Clearly we are in, the middle of a robot,civil rights movement,twaiku,6,7,6,Clearly we are in  the middle of a robot civil rights movement
rainy night,a light in,the bookstore window,tempslibre,3,3,6,rainy night a light in the bookstore window
zar,perhaps too natural for benefits,turn poison in bad minds,img2poems,1,10,6,zar perhaps too natural for benefits turn poison in bad minds
I only go to, the Larimer Square Starbucks,for the aesthetic,twaiku,5,8,5,I only go to  the Larimer Square Starbucks for the aesthetic
Craving spicy food, at this time in a morning,what is up with me,twaiku,5,8,5,Craving spicy food  at this time in a morning what is up with me
annoying when much, worse looking people have much,better seats than you,twaiku,4,9,5,annoying when much  worse looking people have much better seats than you
This boy on tinder, is so cute I really hope,he doesn't ghost me,twaiku,5,9,4,This boy on tinder  is so cute I really hope he doesn't ghost me
Working tonight but, wish I was playing Want me,some Masterworks Scouts,twaiku,5,6,6,Working tonight but  wish I was playing Want me some Masterworks Scouts
third cashier in less, than a week to tell me they,think my hair is great,twaiku,5,7,5,third cashier in less  than a week to tell me they think my hair is great
Sometimes you have to, reprogram your mind to stay,focused on your goals,twaiku,8,7,6,Sometimes you have to  reprogram your mind to stay focused on your goals
Your focus should be, more on the progress than the,actual process,twaiku,5,8,4,Your focus should be  more on the progress than the actual process
Just having one of, those days where everything feels,so dark and pointless,twaiku,6,10,5,Just having one of  those days where everything feels so dark and pointless
when will the outage, be fixed I have lost almost,a whole day of work,twaiku,6,9,6,when will the outage  be fixed I have lost almost a whole day of work
Another Masters, moment beckons Woods as he,makes major return,twaiku,5,7,6,Another Masters  moment beckons Woods as he makes major return
Alton Robinson, right at home in the backfield,makes another play,twaiku,5,8,6,Alton Robinson  right at home in the backfield makes another play
Don't ever attempt, to lay your villainous hand,on Alfred again,twaiku,5,7,5,Don't ever attempt  to lay your villainous hand on Alfred again
wait what happened here,three shots and in color too,i hope im ok,img2poems,7,7,5,wait what happened here three shots and in color too i hope im ok
Straight tunnel vision, I'm tired and I don't want,bullshit in my way,twaiku,5,7,5,Straight tunnel vision  I'm tired and I don't want bullshit in my way
"Ah, the",delirious,weeks of honeymoon!,gutenberg,2,3,5,"Ah, the delirious weeks of honeymoon!"
Just because i am, a princess doesn't mean i,don't care for peasants,twaiku,6,6,6,Just because i am  a princess doesn't mean i don't care for peasants
It's crazy how much, you can try and change things but,they'll just never change,twaiku,5,8,6,It's crazy how much  you can try and change things but they'll just never change
worn cardigan,a bowl of bean soup,for one,herons_nest,4,5,3,worn cardigan a bowl of bean soup for one
Damn true dentition, of if it's meant to be it,will come back to you,twaiku,5,7,6,Damn true dentition  of if it's meant to be it will come back to you
I wanna be a, stance boy again but I'm scared,to ruin my car,twaiku,5,9,4,I wanna be a  stance boy again but I'm scared to ruin my car
I probably should, try studying in advance,for a change of pace,twaiku,5,7,7,I probably should  try studying in advance for a change of pace
her gray hair,gone blonde??,first day of spring,sballas,3,4,4,her gray hair gone blonde?? first day of spring
You are looking good, Keef Happy New Year to you,and your family,twaiku,6,7,5,You are looking good  Keef Happy New Year to you and your family
slow-moving river,a heron's neck,enters the grey,sballas,5,4,4,slow-moving river a heron's neck enters the grey
I rather u hate, me den to tell me you love,me and don't show it,twaiku,6,8,5,I rather u hate  me den to tell me you love me and don't show it
early autumn,the old priest,trembling with tolls,sballas,4,3,4,early autumn the old priest trembling with tolls
I'm just done dealing, with people who take me out,of my character,twaiku,6,8,5,I'm just done dealing  with people who take me out of my character
Ben is not really, sad with Ben because he eats,cheese but that's not true,twaiku,5,8,6,Ben is not really  sad with Ben because he eats cheese but that's not true
Especially if your, fixing some atrocity,that does not exist,twaiku,6,8,5,Especially if your  fixing some atrocity that does not exist
Nothing tastes better, than a free aloe vera,drink on a warm day,twaiku,6,7,5,Nothing tastes better  than a free aloe vera drink on a warm day
the poet,sings a new song,sound of rain,sballas,2,4,3,the poet sings a new song sound of rain
bet a good portion, of y'all have muslim blood and,don't even know it,twaiku,5,9,5,bet a good portion  of y'all have muslim blood and don't even know it
You came into my, life and I thought hey you know,this could be something,twaiku,6,8,6,You came into my  life and I thought hey you know this could be something
A lot of women, main or biggest goal in life,is to get married,twaiku,5,8,5,A lot of women  main or biggest goal in life is to get married
If memories could, be canned would they also have,expiration dates,twaiku,5,9,6,If memories could  be canned would they also have expiration dates
Fuck all u Micheal, Weston was the best spy in,TV history,twaiku,5,7,3,Fuck all u Micheal  Weston was the best spy in TV history
Wish I cared about, the judgment of me wearing,these glitter antlers,twaiku,6,7,6,Wish I cared about  the judgment of me wearing these glitter antlers
i'm starting to go, into little space but i,need to go to sleep,twaiku,5,8,5,i'm starting to go  into little space but i need to go to sleep
Ion live life to, please NOBODY but myself,period fuck y'all,twaiku,6,8,5,Ion live life to  please NOBODY but myself period fuck y'all
the night his house was burned i was in bed,and i can prove it,why we are old friends,img2poems,12,6,6,the night his house was burned i was in bed and i can prove it why we are old friends
summer's end,a perfect little patch,of three-leaf clover,modern_haikus,3,6,5,summer's end a perfect little patch of three-leaf clover
Lay up Make music, Eat Lay up That's the kinda,day I wanna have,twaiku,6,7,6,Lay up Make music  Eat Lay up That's the kinda day I wanna have
Wow that's specific, but quite a threat Who are the,walking monitors,twaiku,5,9,5,Wow that's specific  but quite a threat Who are the walking monitors
I wanna hug tae, so tight until my love melts,away all his pain,twaiku,5,8,5,I wanna hug tae  so tight until my love melts away all his pain
I wanted to cook, so many things yesterday,I played myself lol,twaiku,5,7,5,I wanted to cook  so many things yesterday I played myself lol
has come to town,with a yellow petticoat,and a pretty green gown,img2poems,5,7,6,has come to town with a yellow petticoat and a pretty green gown
unfortunately, i think he's seriously,and bat shit crazy,twaiku,6,6,5,unfortunately  i think he's seriously and bat shit crazy
People arent that, smart They have no clue they cant,connect the pieces,twaiku,5,8,5,People arent that  smart They have no clue they cant connect the pieces
he knows you love him but he will not speak,no never,some men are such gentlemen,img2poems,11,3,9,he knows you love him but he will not speak no never some men are such gentlemen
Trying to become, famous enough to have fake,nudes made about me,twaiku,5,9,7,Trying to become  famous enough to have fake nudes made about me
It b feeling like, a worm in my stomach when,my son b moving,twaiku,5,7,4,It b feeling like  a worm in my stomach when my son b moving
tell me the congress, can't find money to fully,fund the wall just try,twaiku,5,7,5,tell me the congress  can't find money to fully fund the wall just try
night of fireflies??,fishing lights,off the island,sballas,5,3,4,night of fireflies?? fishing lights off the island
unseasonal heat,a woodpecker,and its ideas,sballas,5,4,4,unseasonal heat a woodpecker and its ideas
Wow Another thing, I admire about you is,that your determined,twaiku,5,8,6,Wow Another thing  I admire about you is that your determined
memorial day,his name her reflection,in black granite,sballas,4,7,5,memorial day his name her reflection in black granite
and through the misty air,passed like the mournful cry,of sunward sailing cranes,img2poems,6,8,7,and through the misty air passed like the mournful cry of sunward sailing cranes
Woods are lovely dark, and deep But I have miles to,go before I sleep,twaiku,7,9,6,Woods are lovely dark  and deep But I have miles to go before I sleep
Does the workout I, just did still count if I eat,Chinese afterwards,twaiku,5,7,6,Does the workout I  just did still count if I eat Chinese afterwards
When my father them, was home I never had to,spend my own money,twaiku,5,8,5,When my father them  was home I never had to spend my own money
ironic because, i actually have to,get off my ass now,twaiku,6,7,5,ironic because  i actually have to get off my ass now
Cabello You are, so good at singing and I,love this song so much,twaiku,6,7,6,Cabello You are  so good at singing and I love this song so much
Sweeney shifts from ham,to ham Stirring the water,in his bath.,gutenberg,5,7,3,Sweeney shifts from ham to ham Stirring the water in his bath.
A great conflict was, young each loved him to be too,old and the Hunter,twaiku,5,8,5,A great conflict was  young each loved him to be too old and the Hunter
bitches wanna be, funny but i promise i,can be funnier,twaiku,5,8,4,bitches wanna be  funny but i promise i can be funnier
nobody's perfect, by hannah montana cured,my anxiety,twaiku,5,8,4,nobody's perfect  by hannah montana cured my anxiety
crazy how my day, has only gone down hill since,I woke up goodnight,twaiku,5,9,6,crazy how my day  has only gone down hill since I woke up goodnight
Losing a best friend, is the most heartbreaking thing,to ever go through,twaiku,5,7,5,Losing a best friend  is the most heartbreaking thing to ever go through
Liverpool needs to, hurry up and lose before,the takes get too hot,twaiku,5,9,6,Liverpool needs to  hurry up and lose before the takes get too hot
People say I think, I'm too much they just don't think,of themselves enough,twaiku,5,7,6,People say I think  I'm too much they just don't think of themselves enough
Metal Gear Survive, makes E T for Atari,look like a good game,twaiku,6,7,7,Metal Gear Survive  makes E T for Atari look like a good game
soapstone polar bears,a taste,of wintergreen,herons_nest,6,3,4,soapstone polar bears a taste of wintergreen
my mom randomly, called to say she misses me,that she's proud of me,twaiku,5,8,5,my mom randomly  called to say she misses me that she's proud of me
abel,to do so now: thy soul seems labouring in,some strong delusion it will calm thee,img2poems,2,11,10,abel to do so now: thy soul seems labouring in some strong delusion it will calm thee
I do that Satan, shit cause it's funny and it,pisses people off,twaiku,5,8,5,I do that Satan  shit cause it's funny and it pisses people off
Currently in a, Facebook thread discussing ranch,Turn up Thursday's y'all,twaiku,5,8,6,Currently in a  Facebook thread discussing ranch Turn up Thursday's y'all
I'm done being good, to people I love We can,love from a distance,twaiku,5,8,7,I'm done being good  to people I love We can love from a distance
You examine my, exterior and assume,you know my spirit,twaiku,6,7,5,You examine my  exterior and assume you know my spirit
We are living in, the brutal regime and worst,form of martial law,twaiku,6,8,5,We are living in  the brutal regime and worst form of martial law
im so happy right, now and i didn't think this,would happen again,twaiku,5,6,5,im so happy right  now and i didn't think this would happen again
beach combing,a shark’s tooth lost,lifetimes ago,tempslibre,3,4,6,beach combing a shark’s tooth lost lifetimes ago
Everyday I get, hungrier for my success,Big moves coming soon,twaiku,6,6,6,Everyday I get  hungrier for my success Big moves coming soon
requires acc,b) after verbs of venturing and fighting with acc,of,img2poems,4,12,1,requires acc b) after verbs of venturing and fighting with acc of
